ID;tipo_discursivo
702;DI
702;DT
702;DI
702;RI
702;DI
702;DT
702;DI
702;DT
702;DI
703;DI
703;DT
703;DI
703;DT
703;DI
703;DT
703;DI
703;DT
704;DI
704;DT
704;N
704;RI
705;DI
705;N
705;DI
705;N
705;DI
705;RI
705;N
705;DT
705;DI
706;DI
706;DT
706;DI
706;DT
706;N
706;DI
706;DI
706;DI
707;DT
707;RI
707;DT
707;DI
707;DT
707;RI
707;DI
707;DT
707;DI
708;DT
708;DI
708;N
708;DI Cit
708;N
708;DI Cit
708;RI
708;N
708;RI
712;DT
712;DI
717;DT
717;RI
717;DT
717;RI
717;DT
717;RI
717;DT Cit
718;RI
718;DT
718;RI
718;DT
719;DT
719;RI
719;DT
720;N
720;DT
720;N
720;DT
720;N
720;DT
721;DI
721;DT
721;N
721;DT
721;N
722;DT
722;DI
722;DT
722;RI
722;DI Cit
723;DT
723;DI
723;DT
723;DI
723;DT
724;DT
724;N
724;DI
724;DT
724;DI
724;DT
725;DT
725;DI
725;DT
725;N
725;DI
725;DT
725;N
725;DT
726;DT
726;N
726;DT
726;N
726;DT
726;DI
726;DT
727;DI
727;DT
728;N
728;DT
728;DI
728;DT
728;DI
728;DT
729;DT
729;DI
729;DT
729;DI
729;N
729;DT
729;DI
730;DT Cit
730;DI
730;DT
730;DI
730;DT
730;DI
730;DT
730;DI
730;DT
730;DI
730;DT
730;RI
730;RI Cit
730;DT
730;DI
730;RI
730;DT
730;RI
730;DT
730;RI
730;DT
730;RI
731;DI
731;DT
731;N
731;DI
731;DT
731;DI
731;DT
731;RI Cit
731;DT
731;RI Cit
731;DT
731;RI
731;N
731;DT
731;N
731;DT
731;N
731;DT
731;RI
731;DT
731;RI
731;N
731;DI Cit
731;N
731;DI Cit
731;N
731;DT
731;N
732;RI
732;DT
732;RI
732;RI Cit
732;DT
732;RI Cit
732;DT
732;RI
732;DT
732;RI
732;DT
732;RI Cit
732;DT
732;RI Cit
732;DT
732;RI Cit
732;DT
732;RI Cit
732;DT
732;RI Cit
732;DT
732;RI Cit
732;DT
732;RI
733;RI
733;DT
733;N
733;DT
733;N
733;DT
733;DI
733;DT
733;RI Cit
733;DT
733;RI
733;DT
733;N
733;DT
733;N Cit
733;DT
733;N
733;DT
733;RI
733;DT
733;DI
733;DT
733;DI
733;DT
733;DI
733;DT
734;RI
734;N
734;RI
734;DT
734;DI Cit
734;DT
734;N
734;RI
734;N
734;DT
734;N
734;RI
734;N
735;N
735;DT
735;N
735;DT
735;DI Cit
735;DT
735;DI Cit
735;DT
735;N
735;DT
735;N Cit
735;DT
735;N
735;DT
736;RI
736;DT
736;RI
736;DI
736;DT
736;DI
736;DT
736;DI
736;DT
737;DT
737;RI
737;DT
737;RI Cit
737;DT
737;DI Cit
737;DT
737;DI
737;DI Cit
737;DT
737;RI
737;RI Cit
737;DI Cit
737;DT
737;N
737;DT
737;RI
737;N
737;DT
737;N
737;DT
737;N Cit
737;DT
738;DT
738;DI
738;DT
738;DI
738;DT
738;DI
738;DT
738;DI
738;DT
738;DI
738;DT
739;N
739;DI Cit
739;N
739;DT
739;N
739;DT
739;DI
739;DT
739;DI
739;DT
739;DI Cit
739;DT
739;DI
739;DT Cit
739;RI Cit
739;DT
739;RI Cit
739;DT
739;RI Cit
739;DT
739;DI
739;DT Cit
739;DI
739;DT
739;DI Cit
739;DT
739;DI
739;DT
739;DI
739;DT
739;DI
739;RI Cit
739;DT
739;DI
739;RI Cit
739;DT
739;DI
739;DT
739;DI
739;DT Cit
739;DT
739;RI
739;RI Cit
740;DT
740;DI
740;DT
740;DI
740;DT
740;DI
740;DT
740;RI
740;DT
742;N
742;DT
742;DI Cit
742;DT
742;DI Cit
742;DT
742;DI
742;DI Cit
742;DT
743;DT
743;RI
743;N
743;DI
743;DI Cit
743;DI
743;N
743;DT
743;N
743;DI
743;N
743;DI
743;DT
743;N
743;DT
743;DI
743;DT
744;DT
744;RI
744;DT
744;RI Cit
744;DT
744;DI Cit
744;DT
745;DT
745;N
745;DT
745;DI
745;DI Cit
745;DT
745;DI
745;DT
745;DI
745;DT
745;DI
745;DT
745;DI
745;RI Cit
745;DT
745;DI
745;DT
745;DI Cit
745;DT
745;RI Cit
745;DT
746;DT
746;RI Cit
746;DT
746;DT Cit
746;DT
746;DT Cit
746;N Cit
747;DT
747;N
747;N Cit
747;DT
747;N
747;DT
747;N Cit
747;DT
747;DI Cit
747;N Cit
747;DT
747;RI Cit
747;DT
747;RI Cit
747;DT
747;RI
747;DT
747;N Cit
747;DT
748;DT
748;RI
748;DI
748;N
748;DT
748;N
748;N Cit
748;DT
748;DT
748;RI
748;DT
748;DI
750;DT
750;RI Cit
750;DT
750;RI Cit
751;N
751;RI
751;N
751;DT
751;N
751;DT
751;DI
751;DT
751;N
751;DT
751;DI
751;DT
752;DT
752;RI
752;DT
752;RI
752;DT
752;DI Cit
752;DT
752;RI
752;DT
753;DT
754;DT Cit
754;DT
754;RI Cit
754;DT
755;DT Cit
755;DT
755;N
755;DT
755;N
755;DT
755;RI
755;DT
755;N
755;DT
756;DT
756;DT Cit
756;DT
756;RI Cit
756;DT
756;N
756;DT
756;DI Cit
756;DT
756;DI Cit
756;DT
756;DI Cit
756;DT
756;RI Cit
756;DT
756;DI Cit
756;DT
756;DI Cit
756;DT
756;DI Cit
756;DT
757;DT
757;RI Cit
757;DT
758;DT
758;N
758;RI
758;DT
758;N
758;DT
758;DI
758;DT
758;DI Cit
758;DT
758;RI Cit
758;DT
758;RI Cit
758;DT
758;RI Cit
758;RI
758;DT
758;RI
758;DT
758;DI Cit
758;DT
758;N Cit
758;DT
758;DI Cit
758;DT
758;DI Cit
758;DT
758;DI Cit
758;DT
758;DI Cit
758;DT
758;DI Cit
758;DT
759;N
759;DT
759;N
759;DT
759;RI Cit
759;DT
759;RI
759;RI Cit
759;DT
759;DI Cit
759;DT
759;DI Cit
759;RI
759;DT
760;DT
760;RI
760;DT
760;RI
760;DT
760;RI
760;DT
760;DI
760;DT
760;DI
760;DT
760;RI
760;DT
760;DI
760;DT
760;RI
760;DT
760;N
760;DT
760;N
760;DT
760;RI Cit
760;DT
761;DT
761;RI
761;DT
761;RI
761;DT
761;RI
761;DT
761;RI
761;DT
761;RI
761;DT
761;DI Cit
761;DT
762;DT
762;DI
762;DT
762;RI
762;DT
762;DI
762;DT
764;N
764;DT
764;N
764;DT
